figs-123person	(Speaker) is speaking about himself in the third person. If this would not be natural in your language, you could use the first person form. Alternate translation: “text” 	
figs-abstractnouns	If your language does not use an abstract noun for the idea of **text**, you could express the same idea in another way. Alternate translation: “text”	
figs-activepassive	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “text”	
figs-apostrophe	____ is speaking to ____ that he knows cannot hear him. He is doing this to communicate to the people listening to him that he feels very strongly about ____. If it would be helpful in your language, you could translate these words as if he were speaking directly to the people about ____. Alternate translation: “text”
figs-declarative	____ is using a future statement to give an instruction or command. If it would be helpful in your language, you could translate these words using a command or instruction form. Alternate translation: “text”
figs-distinguish	This does not mean “____,” which would imply that ____ was also ____. Be sure that this distinction is clear in your translation. Alternate translation: “text”
figs-doublenegatives	This is a double negative, consisting of the negative particle **____** and the negative word **____**. If it would be clearer in your language, you could use a positive expression to translate this.  Alternate translation: “text”	
figs-doublet	The terms **text** and **text** mean similar things. ___ is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: “text”	
figs-ellipsis	_____ is leaving out some of the words that in many languages a sentence would need in order to be complete. You could supply these words from earlier in the sentence if it would be clearer in your language. Alternate translation: “text”	
figs-euphemism	_____ is referring to (text) in a polite way by using the phrase **text**. If it would be helpful in your language, you could use a polite way of referring to this in your language, or you could state this plainly. Alternate translation: “text”	
figs-events-generic	The previous verse says that ____. It might be helpful to make it clear that the account that starts in this verse happened before ____.
figs-exclamations	This is an exclamation that is emphasizing that ____. Use an exclamation that would communicate that meaning in your language. Alternate translation: “text”
figs-exclusive	By **text**, the _____ means himself and _____ but not _____, so use the exclusive form of that word in your translation if your language marks that distinction.	
figs-exclusive	_____ is using the pronoun **text** to refer to _____ and _____, so use the inclusive form of that word if your language marks that distinction.	
figs-exmetaphor	____ continues to draw an extended comparison between ____ and ____. If it would be helpful to your readers, you could explain the comparison. Alternate translation: “text”
figs-explicit	The implication is that _____. You could include this information if that would be helpful to your readers. Alternate translation: “text”	
figs-explicit	______ assumes that his readers will understand that ______. You could include this information if that would be helpful to your readers. Alternate translation: “text”
figs-explicitinfo	The expression **text** contains extra information that would be unnatural to express in some languages. If this is true of your language, you could shorten the expression. Alternate translation: “text”	
figs-extrainfo	_____ is referring implicitly to the _____. Since _____, you do not need to explain its meaning further here.	
figs-gendernotations	Although the term **text** is _____, _____ is using the word in a generic sense that includes both men and women. If it would be helpful in your language, you could use a phrase that makes this clear. Alternate translation: “text”	
figs-genericnoun	The word **text** represents ____ in general, not one particular ____. If it would be helpful in your language, you could use a more natural expression. Alternate translation: “text”
figs-genericnoun	Here, **text** and **text** represent ____ in general, not specific ____. If it would be helpful in your language, you could use more natural expressions. Alternate translation: “text”
figs-go	In a context such as this, your language might say “_____” instead of **text**. Alternate translation: “_____”	
figs-hendiadys	The two words **____** and **____** express a single idea. The word **text** tells how _____. If it would be more natural in your language, you could express this meaning in a different way. Alternate translation: “text”
figs-hyperbole	_____ says **text** here as a generalization for emphasis. If it would be helpful in your language, you could use a different way to express the emphasis. Alternate translation: “text”	
